id,carat,depth,table,x,y,z,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
43,0.33,60.3,58.0,4.49,4.47,2.7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
44,0.8,62.1,56.0,5.94,6.0,3.71,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
45,1.24,60.5,62.0,6.97,6.89,4.19,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
46,1.54,63.0,59.0,7.31,7.26,4.59,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
47,0.3,61.4,55.0,4.32,4.34,2.66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,0.9,62.7,59.0,6.1,6.14,3.84,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
49,1.03,62.7,62.0,6.43,6.38,4.02,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
50,0.37,61.8,59.0,4.6,4.56,2.83,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
51,1.0,60.4,63.0,6.44,6.37,3.87,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
52,0.33,60.8,55.0,4.49,4.53,2.74,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
53,0.55,61.6,56.0,5.25,5.3,3.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,0.5,61.5,55.0,5.12,5.16,3.16,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
55,0.32,61.7,55.0,4.38,4.4,2.71,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,0.31,61.8,57.0,4.36,4.34,2.69,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
57,0.35,60.9,58.0,4.54,4.56,2.77,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
58,0.52,62.4,55.0,5.19,5.17,3.23,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
59,0.71,62.6,55.0,5.66,5.71,3.56,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
60,0.51,59.6,59.0,5.2,5.24,3.11,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
61,0.41,63.6,54.0,4.75,4.72,3.01,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
62,1.01,64.6,56.0,6.31,6.24,4.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,0.32,64.1,54.0,4.34,4.37,2.79,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
64,0.32,61.9,56.0,4.42,4.4,2.73,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
65,0.71,61.2,55.0,5.74,5.78,3.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,0.71,60.3,58.0,5.72,5.78,3.47,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
67,0.32,61.9,54.0,4.39,4.43,2.73,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
68,0.37,61.1,60.0,4.6,4.63,2.82,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
69,1.51,61.5,58.0,7.38,7.33,4.52,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
70,1.23,62.1,58.0,6.85,6.8,4.24,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
71,0.76,61.2,57.0,5.85,5.9,3.59,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
72,0.32,60.1,61.0,4.45,4.4,2.66,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
73,1.01,63.2,59.0,6.32,6.36,4.01,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
74,0.51,63.1,58.0,5.05,5.1,3.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
75,1.0,59.9,61.0,6.42,6.46,3.86,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
76,0.9,62.9,59.0,6.06,6.15,3.84,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
77,1.5,62.3,58.0,7.31,7.26,4.54,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
78,0.52,62.4,55.1,5.11,5.15,3.2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
79,0.9,63.8,57.0,6.12,6.07,3.89,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80,0.71,64.6,59.0,5.62,5.59,3.62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
81,1.15,62.4,56.0,6.71,6.65,4.17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
82,0.53,61.0,56.0,5.26,5.29,3.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83,1.13,61.2,58.0,6.77,6.66,4.11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,2.01,59.9,65.0,8.14,8.19,4.89,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
85,0.75,62.6,55.0,5.72,5.79,3.6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
86,1.37,62.2,55.0,7.09,7.12,4.42,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
87,0.5,58.8,60.0,5.17,5.23,3.06,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
88,1.1,62.0,56.5,6.58,6.63,4.09,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
89,0.41,61.7,61.0,4.74,4.7,2.91,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
90,1.18,61.8,58.0,6.74,6.79,4.18,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
91,0.31,61.5,57.0,4.38,4.33,2.68,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
92,0.57,58.9,59.0,5.41,5.35,3.17,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
93,0.93,62.7,57.0,6.21,6.26,3.91,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
94,1.01,63.2,59.0,6.34,6.38,4.02,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95,0.76,63.0,58.0,5.78,5.8,3.65,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
96,1.01,61.9,55.0,6.38,6.44,3.97,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
97,0.59,61.7,54.0,5.38,5.44,3.34,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
98,0.3,61.2,60.0,4.31,4.28,2.63,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
99,0.35,61.5,59.0,4.55,4.53,2.79,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
100,1.02,60.2,60.0,6.39,6.54,3.89,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
101,1.52,61.5,55.0,7.41,7.44,4.57,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
102,0.41,62.4,58.0,4.77,4.75,2.97,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
103,1.2,61.1,56.0,6.86,6.89,4.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104,2.01,62.0,61.0,8.04,8.1,5.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
105,1.0,63.3,57.0,6.28,6.32,3.99,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
106,0.9,58.5,61.0,6.28,6.33,3.69,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
107,1.2,62.5,55.0,6.76,6.81,4.24,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
108,0.35,62.5,57.0,4.54,4.48,2.82,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
109,1.55,59.8,59.0,7.47,7.45,4.46,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
110,0.74,59.8,58.0,5.9,5.94,3.54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
111,0.26,59.2,60.0,4.19,4.22,2.49,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
112,0.49,60.7,56.0,5.13,5.18,3.13,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
113,0.61,60.3,56.0,5.52,5.55,3.34,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
114,1.15,62.7,58.0,6.71,6.69,4.2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
115,0.32,59.0,61.0,4.44,4.47,2.63,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
116,1.21,61.4,58.0,6.85,6.89,4.22,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
117,1.0,63.3,59.0,6.29,6.34,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
118,1.02,62.1,56.0,6.44,6.39,3.98,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
119,1.58,60.8,58.0,7.58,7.52,4.59,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
120,0.56,62.0,56.0,5.28,5.3,3.28,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
121,0.3,61.5,55.0,4.31,4.28,2.64,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
122,0.97,61.3,57.0,6.37,6.41,3.92,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
123,0.3,62.1,55.0,4.32,4.35,2.69,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
124,0.31,61.6,54.8,4.35,4.37,2.69,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
125,0.76,61.5,58.0,5.86,5.81,3.59,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
126,0.35,62.3,58.0,4.49,4.53,2.81,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
127,1.14,61.5,57.0,6.7,6.73,4.13,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
128,0.24,63.6,54.0,3.96,4.0,2.53,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
129,1.51,60.6,59.0,7.41,7.45,4.5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
130,0.43,60.6,57.0,4.88,4.94,2.97,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
131,0.41,63.6,56.0,4.7,4.73,3.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
132,0.33,63.0,56.0,4.41,4.42,2.78,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
133,1.51,61.1,57.0,7.36,7.3,4.48,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
134,0.55,60.7,57.0,5.3,5.27,3.21,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
135,1.09,61.3,58.0,6.63,6.58,4.05,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
136,0.31,61.6,55.0,4.36,4.41,2.7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
137,0.4,63.7,59.0,4.66,4.69,2.98,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
138,1.0,61.7,57.0,6.39,6.42,3.95,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
139,1.35,61.4,57.0,7.13,7.1,4.37,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
140,1.11,62.2,57.0,6.55,6.6,4.09,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
141,2.0,66.1,57.0,7.84,7.7,5.14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
142,0.9,63.3,59.0,6.07,6.12,3.86,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
143,1.01,60.4,60.0,6.48,6.57,3.94,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
144,0.32,61.7,55.0,4.39,4.42,2.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,0.33,59.2,59.0,4.51,4.54,2.68,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
146,2.09,63.0,57.0,8.09,8.13,5.11,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
147,1.31,62.4,56.0,7.0,6.98,4.36,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
148,2.0,57.6,63.0,8.2,8.16,4.73,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
149,0.55,61.7,57.0,5.23,5.27,3.24,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
150,0.31,62.1,58.0,4.35,4.31,2.69,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
151,1.08,62.8,57.0,6.55,6.51,4.1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
152,1.08,59.6,60.0,6.73,6.66,3.99,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
153,1.04,62.4,57.0,6.48,6.46,4.04,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
154,1.07,61.8,54.0,6.56,6.61,4.07,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
155,0.54,61.1,59.0,5.2,5.24,3.19,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
156,0.9,63.5,62.0,6.07,6.11,3.87,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
157,0.4,60.6,56.0,4.82,4.79,2.91,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
158,1.3,62.2,56.0,7.03,6.98,4.36,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
159,1.02,60.4,60.0,6.53,6.49,3.93,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
160,0.51,62.2,58.0,5.08,5.11,3.17,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
161,0.5,61.3,60.0,5.11,5.07,3.12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
162,0.32,60.3,56.0,4.44,4.45,2.68,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
163,0.31,62.5,56.0,4.35,4.29,2.7,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
164,1.02,60.8,57.0,6.42,6.5,3.93,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
165,0.3,62.2,58.0,4.33,4.22,2.66,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
166,1.56,60.2,60.0,7.47,7.52,4.51,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
167,1.5,63.4,61.0,7.12,7.08,4.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
168,1.0,63.4,61.0,6.33,6.29,4.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
169,0.56,60.6,59.0,5.33,5.29,3.22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
170,1.14,63.3,55.0,6.6,6.67,4.2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
171,0.52,65.3,56.0,5.05,5.0,3.28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
172,0.4,62.0,57.0,4.66,4.7,2.9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
173,0.7,71.6,55.0,5.47,5.28,3.85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
174,0.36,60.2,56.0,4.65,4.62,2.79,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
175,1.5,63.0,57.0,7.31,7.2,4.57,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
176,0.5,62.8,56.0,5.05,5.08,3.18,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
177,0.31,61.4,62.0,4.32,4.34,2.66,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
178,0.31,63.2,57.0,4.3,4.27,2.71,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
179,0.7,58.2,63.0,5.82,5.79,3.38,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
180,1.05,62.4,57.0,6.49,6.52,4.06,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
181,1.32,62.9,57.0,6.98,6.94,4.38,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
182,2.15,60.3,59.0,8.34,8.41,5.05,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
183,0.33,59.6,60.0,4.51,4.48,2.68,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
184,1.4,62.2,57.0,7.17,7.08,4.43,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
185,1.5,61.1,59.0,7.41,7.35,4.51,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
186,0.5,60.9,59.0,5.14,5.11,3.12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
187,0.56,62.0,57.0,5.29,5.33,3.29,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
188,0.33,62.6,56.0,4.39,4.42,2.75,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
189,1.12,61.6,57.0,6.68,6.66,4.11,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
190,1.21,62.8,59.0,6.72,6.68,4.21,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
191,0.58,60.6,55.0,5.41,5.48,3.3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
192,0.71,63.6,54.0,5.7,5.75,3.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
193,0.79,60.4,59.0,5.97,5.99,3.61,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
194,0.5,62.9,59.0,5.09,5.06,3.19,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
195,1.22,62.4,59.0,6.91,6.85,4.29,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
196,0.33,62.0,59.0,4.39,4.41,2.73,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
197,0.3,61.1,55.0,4.35,4.32,2.65,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
198,1.2,60.2,57.0,6.88,6.95,4.16,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
199,0.9,61.7,57.0,6.18,6.24,3.83,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
200,0.32,61.6,54.0,4.4,4.43,2.72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
201,2.01,64.1,62.0,7.94,7.85,5.06,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
202,1.52,60.6,58.0,7.44,7.38,4.49,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
203,0.54,61.0,57.0,5.25,5.28,3.21,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
204,1.37,62.9,58.0,7.12,7.07,4.46,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
205,0.72,61.8,56.0,5.74,5.76,3.55,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
206,0.36,60.6,58.0,4.58,4.6,2.78,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
207,0.31,61.4,58.0,4.36,4.33,2.67,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
208,1.06,62.1,55.0,6.54,6.57,4.07,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
209,1.1,62.3,55.0,6.57,6.61,4.1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
210,1.5,65.0,57.0,7.1,7.06,4.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
211,1.91,64.6,56.0,7.76,7.7,4.99,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
212,1.06,63.0,58.0,6.49,6.46,4.08,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
213,2.03,62.3,60.0,8.01,8.07,5.01,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
214,0.5,62.8,55.0,5.05,5.08,3.18,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
215,0.71,62.4,56.0,5.7,5.64,3.54,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
216,1.0,62.3,57.0,6.33,6.28,3.93,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
217,1.02,61.1,59.0,6.41,6.45,3.93,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
218,0.9,62.1,59.0,6.2,6.17,3.84,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
219,1.55,61.7,54.0,7.47,7.5,4.62,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
220,0.3,60.9,58.0,4.31,4.33,2.63,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
221,0.7,62.1,54.0,5.72,5.74,3.56,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
222,1.02,61.8,57.0,6.43,6.46,3.98,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
223,1.08,61.2,58.0,6.62,6.58,4.04,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
224,1.3,63.0,59.0,6.97,6.9,4.37,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
225,0.3,62.9,55.0,4.28,4.31,2.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
226,1.5,63.6,57.0,7.3,7.23,4.62,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
227,1.01,64.2,56.0,6.31,6.27,4.04,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
228,0.3,63.8,56.0,4.26,4.23,2.71,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
